id,organizer_name,mobile_number,address,organization
1,Rajesh Goud,9902276804,"Vasanth Nagar, LB Nagar, Hyderabad",Youth Association
2,Vinay Varma,9763193008,"HMT Hills, Chandanagar, Hyderabad",Seva Samithi
3,Harish Goud,9867988348,"KPHB Phase-1, Charminar, Hyderabad",Residents Welfare Association
4,Chaitanya Naidu,9039656872,"HMT Hills, Kukatpally, Hyderabad",Ganesh Utsav Committee
5,Rohit Rao,9517574539,"Srinivasa Colony, Chandanagar, Hyderabad",Youth Association
6,Prasad Sharma,9059807652,"Pragathi Nagar, LB Nagar, Hyderabad",Cultural Association
7,Ramesh Reddy,9617575030,"Vivekananda Nagar, Jubilee Hills, Hyderabad",Colony Welfare Association
8,Arun Patel,9556997673,"HMT Hills, Kukatpally, Hyderabad",Ganesh Utsav Committee
9,Rohit Sharma,9600352457,"Vivekananda Nagar, Kukatpally, Hyderabad",Colony Welfare Association
10,Vinay Varma,9843821442,"HMT Hills, Kukatpally, Hyderabad",Youth Association
11,Praveen Goud,9689103972,"Sai Nagar, Chandanagar, Hyderabad",Ganesh Utsav Committee
12,Lokesh Reddy,9705800849,"Hanuman Nagar, Nallakunta, Hyderabad",Colony Welfare Association
13,Rajesh Varma,9762370499,"Sai Nagar, Secunderabad, Hyderabad",Temple Committee
14,Prasad Chowdary,9865918287,"Vivekananda Nagar, Mehdipatnam, Hyderabad",Friends Association
15,Praveen Varma,9503191475,"MIG Colony, Dilsukhnagar, Hyderabad",Friends Association
16,Venkatesh Sharma,9422178461,"MIG Colony, Tolichowki, Hyderabad",Temple Committee
17,Chaitanya Kumar,9188284372,"Sai Nagar, Charminar, Hyderabad",Colony Welfare Association
18,Chaitanya Chowdary,9519214736,"Vivekananda Nagar, Secunderabad, Hyderabad",Residents Welfare Association
19,Lokesh Chowdary,9973344214,"Sai Nagar, LB Nagar, Hyderabad",Seva Samithi
20,Ramesh Naidu,9046579762,"Vivekananda Nagar, Kondapur, Hyderabad",Ganesh Utsav Committee
21,Ramesh Yadav,9185733168,"Srinivasa Colony, Kondapur, Hyderabad",Youth Club
22,Sandeep Goud,9498675858,"KPHB Phase-1, Uppal, Hyderabad",Residents Welfare Association
23,Ajay Patel,9623512670,"Bhagyanagar Colony, Dilsukhnagar, Hyderabad",Youth Association
24,Sandeep Sharma,9423885778,"Balaji Nagar, Miyapur, Hyderabad",Youth Association
25,Naveen Sharma,9156048123,"Sai Nagar, Dilsukhnagar, Hyderabad",Seva Samithi
26,Rajesh Patel,9976791011,"KPHB Phase-7, LB Nagar, Hyderabad",Residents Welfare Association
27,Kiran Chowdary,9559391582,"Srinivasa Colony, Habsiguda, Hyderabad",Youth Association
28,Ajay Patel,9181968747,"Balaji Nagar, Dilsukhnagar, Hyderabad",Seva Samithi
29,Sandeep Varma,9056343432,"MIG Colony, Patancheru, Hyderabad",Youth Club
30,Arun Kumar,9064702635,"Bhagyanagar Colony, Dilsukhnagar, Hyderabad",Youth Club
31,Prasad Rao,9415712479,"Vivekananda Nagar, Dilsukhnagar, Hyderabad",Residents Welfare Association
32,Venkatesh Reddy,9856184854,"Sai Nagar, Dilsukhnagar, Hyderabad",Cultural Association
33,Chaitanya Patel,9715391767,"Balaji Nagar, Secunderabad, Hyderabad",Residents Welfare Association
34,Prasad Naidu,9620251464,"KPHB Phase-7, Jubilee Hills, Hyderabad",Cultural Association
35,Prasad Sharma,9798013752,"Sai Nagar, Madhapur, Hyderabad",Youth Club
36,Rohit Varma,9809859962,"KPHB Phase-1, Charminar, Hyderabad",Cultural Association
37,Naveen Naidu,9468362985,"Teachers Colony, Malkajgiri, Hyderabad",Colony Welfare Association
38,Sai Chowdary,9656440212,"Srinivasa Colony, Uppal, Hyderabad",Ganesh Utsav Committee
39,Vinay Varma,9941847528,"Pragathi Nagar, Habsiguda, Hyderabad",Seva Samithi
40,Ajay Varma,9582259415,"Bhagyanagar Colony, Rajendranagar, Hyderabad",Cultural Association
41,Arun Chowdary,9477836894,"Teachers Colony, Charminar, Hyderabad",Colony Welfare Association
42,Ajay Reddy,9072630365,"Hanuman Nagar, Begumpet, Hyderabad",Colony Welfare Association
43,Venkatesh Yadav,9012030342,"Pragathi Nagar, Patancheru, Hyderabad",Colony Welfare Association
44,Prasad Sharma,9064684250,"KPHB Phase-7, Uppal, Hyderabad",Residents Welfare Association
45,Rohit Naidu,9459296256,"Srinivasa Colony, Kukatpally, Hyderabad",Ganesh Utsav Committee
46,Arun Varma,9570319342,"Sai Nagar, Suchitra, Hyderabad",Temple Committee
47,Vinay Kumar,9687998370,"KPHB Phase-1, Dilsukhnagar, Hyderabad",Residents Welfare Association
48,Kiran Goud,9666476100,"Vasanth Nagar, ECIL, Hyderabad",Temple Committee
49,Kiran Kumar,9168692624,"Vasanth Nagar, Uppal, Hyderabad",Friends Association
50,Praveen Chowdary,9803972855,"MIG Colony, Kukatpally, Hyderabad",Residents Welfare Association
51,Vinay Kumar,9707231075,"Vasanth Nagar, Shamshabad, Hyderabad",Colony Welfare Association
52,Praveen Naidu,9898417483,"Hanuman Nagar, Miyapur, Hyderabad",Youth Club
53,Vinay Sharma,9971685848,"Bhagyanagar Colony, LB Nagar, Hyderabad",Colony Welfare Association
54,Anand Kumar,9980078555,"KPHB Phase-1, Malakpet, Hyderabad",Seva Samithi
55,Lokesh Chowdary,9614835122,"KPHB Phase-1, Suchitra, Hyderabad",Youth Club
56,Chaitanya Sharma,9431160790,"Balaji Nagar, Tarnaka, Hyderabad",Friends Association
57,Rohit Varma,9926442714,"KPHB Phase-1, SR Nagar, Hyderabad",Residents Welfare Association
58,Mahesh Sharma,9772144152,"KPHB Phase-7, ECIL, Hyderabad",Youth Association
59,Ramesh Sharma,9124919463,"Hanuman Nagar, Kondapur, Hyderabad",Seva Samithi
60,Praveen Naidu,9951593788,"Vivekananda Nagar, Dilsukhnagar, Hyderabad",Temple Committee
61,Prasad Patel,9486104320,"Balaji Nagar, Madhapur, Hyderabad",Youth Association
